Provincia,Casos Sospechosos,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Espaillat,0,0.0,0,colera,7,2018
Extranjera,0,0.0,0,colera,7,2018
Hato Mayor,0,0.0,0,colera,7,2018
Hermanas Mirabal,0,0.0,0,colera,7,2018
Independencia,0,0.0,0,colera,7,2018
La Altagracia,0,0.0,0,colera,7,2018
La Romana,0,0.0,0,colera,7,2018
La Vega,0,1.83,0,colera,7,2018
María Trinidad Sánchez,0,0.0,0,colera,7,2018
Monseñor Nouel,0,0.0,0,colera,7,2018
Monte Cristi,0,0.0,0,colera,7,2018
Monte Plata,0,0.0,0,colera,7,2018
Pedernales,0,0.0,0,colera,7,2018
Peravia,0,0.0,0,colera,7,2018
Puerto Plata,0,0.0,0,colera,7,2018
Samaná,0,0.0,0,colera,7,2018
San Cristóbal,0,0.0,0,colera,7,2018
San José de Ocoa,0,0.0,0,colera,7,2018
San Juan,0,0.0,0,colera,7,2018
San Pedro de Macorís,0,0.0,0,colera,7,2018
Santiago,0,0.0,0,colera,7,2018
Santiago Rodríguez,0,0.0,0,colera,7,2018
Santo Domingo,0,0.0,0,colera,7,2018
Sánchez Ramírez,0,0.0,0,colera,7,2018
Valverde,0,0.0,0,colera,7,2018
Azua,0,2.95,0,colera,8,2018
Baoruco,0,0.0,0,colera,8,2018
Barahona,0,0.0,0,colera,8,2018
Dajabón,0,0.0,0,colera,8,2018
Distrito Nacional,0,0.64,0,colera,8,2018
Duarte,0,0.0,0,colera,8,2018
El Seibo,0,0.0,0,colera,8,2018
Elías Piña,0,0.0,0,colera,8,2018
Espaillat,0,0.0,0,colera,8,2018
Extranjera,0,0.0,0,colera,8,2018
Hato Mayor,0,0.0,0,colera,8,2018
Hermanas Mirabal,0,0.0,0,colera,8,2018
Independencia,0,0.0,0,colera,8,2018
La Altagracia,0,0.0,0,colera,8,2018
La Romana,0,0.0,0,colera,8,2018
La Vega,0,1.6,0,colera,8,2018
María Trinidad Sánchez,0,0.0,0,colera,8,2018
Monseñor Nouel,0,0.0,0,colera,8,2018
Monte Cristi,0,0.0,0,colera,8,2018
Monte Plata,0,0.0,0,colera,8,2018
Pedernales,0,0.0,0,colera,8,2018
Peravia,0,0.0,0,colera,8,2018
Puerto Plata,0,0.0,0,colera,8,2018
Samaná,0,0.0,0,colera,8,2018
San Cristóbal,0,0.0,0,colera,8,2018
San José de Ocoa,0,0.0,0,colera,8,2018
San Juan,0,0.0,0,colera,8,2018
San Pedro de Macorís,0,0.0,0,colera,8,2018
Santiago,0,0.0,0,colera,8,2018
Santiago Rodríguez,0,0.0,0,colera,8,2018
Santo Domingo,0,0.0,0,colera,8,2018
Sánchez Ramírez,0,0.0,0,colera,8,2018
Valverde,0,0.0,0,colera,8,2018
Azua,0,2.62,0,colera,9,2018
Baoruco,0,0.0,0,colera,9,2018
Barahona,0,0.0,0,colera,9,2018
Dajabón,0,0.0,0,colera,9,2018
Distrito Nacional,0,0.57,0,colera,9,2018
Duarte,0,0.0,0,colera,9,2018
El Seibo,0,0.0,0,colera,9,2018
Elías Piña,0,0.0,0,colera,9,2018
Espaillat,0,0.0,0,colera,9,2018
Extranjera,0,0.0,0,colera,9,2018
Hato Mayor,0,0.0,0,colera,9,2018
Hermanas Mirabal,0,0.0,0,colera,9,2018
Independencia,0,0.0,0,colera,9,2018
La Altagracia,0,0.0,0,colera,9,2018
La Romana,0,0.0,0,colera,9,2018
La Vega,0,2.84,0,colera,9,2018
María Trinidad Sánchez,0,0.0,0,colera,9,2018
Monseñor Nouel,0,0.0,0,colera,9,2018
Monte Cristi,0,0.0,0,colera,9,2018
Monte Plata,0,0.0,0,colera,9,2018
Pedernales,0,0.0,0,colera,9,2018
Peravia,2,5.96,0,colera,9,2018
Puerto Plata,0,0.0,0,colera,9,2018
Samaná,0,0.0,0,colera,9,2018
San Cristóbal,0,0.0,0,colera,9,2018
San José de Ocoa,0,0.0,0,colera,9,2018
San Juan,0,0.0,0,colera,9,2018
San Pedro de Macorís,0,0.0,0,colera,9,2018
Santiago,0,0.0,0,colera,9,2018
Santiago Rodríguez,0,0.0,0,colera,9,2018
Santo Domingo,0,0.0,0,colera,9,2018
Sánchez Ramírez,0,0.0,0,colera,9,2018
Valverde,0,0.0,0,colera,9,2018
Azua,0,2.36,0,colera,10,2018
Baoruco,0,0.0,0,colera,10,2018
Barahona,0,0.0,0,colera,10,2018
Dajabón,0,0.0,0,colera,10,2018
Distrito Nacional,0,0.51,0,colera,10,2018
Duarte,0,0.0,0,colera,10,2018
El Seibo,0,0.0,0,colera,10,2018
Elías Piña,0,0.0,0,colera,10,2018
Espaillat,0,0.0,0,colera,10,2018
Extranjera,0,0.0,0,colera,10,2018
Hato Mayor,0,0.0,0,colera,10,2018
Hermanas Mirabal,0,0.0,0,colera,10,2018
Independencia,0,0.0,0,colera,10,2018
La Altagracia,0,0.0,0,colera,10,2018
La Romana,0,0.0,0,colera,10,2018
La Vega,0,2.56,0,colera,10,2018
María Trinidad Sánchez,0,0.0,0,colera,10,2018
Monseñor Nouel,0,0.0,0,colera,10,2018
Monte Cristi,0,0.0,0,colera,10,2018
Monte Plata,0,0.0,0,colera,10,2018
Pedernales,0,0.0,0,colera,10,2018
Peravia,0,5.36,0,colera,10,2018
Puerto Plata,0,0.0,0,colera,10,2018
Samaná,0,0.0,0,colera,10,2018
San Cristóbal,0,0.0,0,colera,10,2018
San José de Ocoa,0,0.0,0,colera,10,2018
San Juan,0,0.0,0,colera,10,2018
San Pedro de Macorís,0,0.0,0,colera,10,2018
Santiago,0,0.0,0,colera,10,2018
Santiago Rodríguez,0,0.0,0,colera,10,2018
Santo Domingo,1,0.19,0,colera,10,2018
Sánchez Ramírez,0,0.0,0,colera,10,2018
Valverde,0,0.0,0,colera,10,2018
Azua,0,2.14,0,colera,11,2018
Baoruco,0,0.0,0,colera,11,2018
Barahona,0,0.0,0,colera,11,2018
Dajabón,0,0.0,0,colera,11,2018
Distrito Nacional,0,0.46,0,colera,11,2018
Duarte,0,0.0,0,colera,11,2018
El Seibo,0,0.0,0,colera,11,2018
Elías Piña,0,0.0,0,colera,11,2018
Espaillat,0,0.0,0,colera,11,2018
Extranjera,0,0.0,0,colera,11,2018
Hato Mayor,0,0.0,0,colera,11,2018
Hermanas Mirabal,0,0.0,0,colera,11,2018
Independencia,0,0.0,0,colera,11,2018
La Altagracia,0,0.0,0,colera,11,2018
La Romana,0,0.0,0,colera,11,2018
La Vega,2,4.65,0,colera,11,2018
María Trinidad Sánchez,0,0.0,0,colera,11,2018
Monseñor Nouel,0,0.0,0,colera,11,2018
Monte Cristi,0,0.0,0,colera,11,2018
Monte Plata,0,0.0,0,colera,11,2018
Pedernales,0,0.0,0,colera,11,2018
Peravia,0,4.88,0,colera,11,2018
Puerto Plata,0,0.0,0,colera,11,2018
Samaná,0,0.0,0,colera,11,2018
San Cristóbal,0,0.0,0,colera,11,2018
San José de Ocoa,0,0.0,0,colera,11,2018
San Juan,0,0.0,0,colera,11,2018
San Pedro de Macorís,1,1.57,0,colera,11,2018
Santiago,0,0.0,0,colera,11,2018
Santiago Rodríguez,0,0.0,0,colera,11,2018
Santo Domingo,0,0.17,0,colera,11,2018
Sánchez Ramírez,0,0.0,0,colera,11,2018
Valverde,0,0.0,0,colera,11,2018
Azua,0,1.81,0,colera,13,2018
Baoruco,0,0.0,0,colera,13,2018
Barahona,0,0.0,0,colera,13,2018
Dajabón,0,0.0,0,colera,13,2018
Distrito Nacional,0,0.39,0,colera,13,2018
Duarte,0,0.0,0,colera,13,2018
El Seibo,0,0.0,0,colera,13,2018
Elías Piña,0,0.0,0,colera,13,2018
Espaillat,0,0.0,0,colera,13,2018
Extranjera,0,0.0,0,colera,13,2018
Hato Mayor,0,0.0,0,colera,13,2018
Hermanas Mirabal,0,0.0,0,colera,13,2018
Independencia,0,0.0,0,colera,13,2018
La Altagracia,0,0.0,0,colera,13,2018
La Romana,0,0.0,0,colera,13,2018
La Vega,0,3.93,0,colera,13,2018
María Trinidad Sánchez,0,0.0,0,colera,13,2018
Monseñor Nouel,0,0.0,0,colera,13,2018
Monte Cristi,0,0.0,0,colera,13,2018
Monte Plata,0,0.0,0,colera,13,2018
Pedernales,0,0.0,0,colera,13,2018
Peravia,0,4.13,0,colera,13,2018
Puerto Plata,0,0.0,0,colera,13,2018
Samaná,0,0.0,0,colera,13,2018
San Cristóbal,0,1.29,0,colera,13,2018
San José de Ocoa,0,0.0,0,colera,13,2018
San Juan,0,0.0,0,colera,13,2018
San Pedro de Macorís,0,1.33,0,colera,13,2018
Santiago,0,0.0,0,colera,13,2018
Santiago Rodríguez,0,0.0,0,colera,13,2018
Santo Domingo,1,0.29,0,colera,13,2018
Sánchez Ramírez,0,0.0,0,colera,13,2018
Valverde,0,0.0,0,colera,13,2018
Azua,0,1.68,0,colera,14,2018
Baoruco,0,0.0,0,colera,14,2018
Barahona,0,0.0,0,colera,14,2018
Dajabón,0,0.0,0,colera,14,2018
Distrito Nacional,0,0.36,0,colera,14,2018
Duarte,0,0.0,0,colera,14,2018
El Seibo,0,0.0,0,colera,14,2018
Elías Piña,0,0.0,0,colera,14,2018
Espaillat,0,0.0,0,colera,14,2018
Extranjera,0,0.0,0,colera,14,2018
Hato Mayor,0,0.0,0,colera,14,2018
Hermanas Mirabal,0,0.0,0,colera,14,2018
Independencia,0,0.0,0,colera,14,2018
La Altagracia,0,0.0,0,colera,14,2018
