Provincia,Casos Confirmados,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Azua,0,0.0,0,malaria,8,2018
Baoruco,0,0.0,0,malaria,8,2018
Barahona,0,0.0,0,malaria,8,2018
Dajabón,0,0.0,0,malaria,8,2018
Distrito Nacional,0,0.64,0,malaria,8,2018
Duarte,0,0.0,0,malaria,8,2018
El Seibo,0,28.31,0,malaria,8,2018
Elías Piña,0,0.0,0,malaria,8,2018
Espaillat,0,0.0,0,malaria,8,2018
Extranjera,0,0.0,0,malaria,8,2018
Hato Mayor,0,0.0,0,malaria,8,2018
Hermanas Mirabal,0,0.0,0,malaria,8,2018
Independencia,0,0.0,0,malaria,8,2018
La Altagracia,0,1.97,0,malaria,8,2018
La Romana,0,0.0,0,malaria,8,2018
La Vega,0,0.0,0,malaria,8,2018
María Trinidad Sánchez,0,0.0,0,malaria,8,2018
Monseñor Nouel,0,0.0,0,malaria,8,2018
Monte Cristi,0,0.0,0,malaria,8,2018
Monte Plata,0,0.0,0,malaria,8,2018
Pedernales,0,0.0,0,malaria,8,2018
Peravia,0,0.0,0,malaria,8,2018
Puerto Plata,0,0.0,0,malaria,8,2018
Samaná,0,0.0,0,malaria,8,2018
San Cristóbal,0,0.0,0,malaria,8,2018
San José de Ocoa,0,0.0,0,malaria,8,2018
San Juan,0,0.0,0,malaria,8,2018
San Pedro de Macorís,0,0.0,0,malaria,8,2018
Santiago,0,0.0,0,malaria,8,2018
Santiago Rodríguez,0,0.0,0,malaria,8,2018
Santo Domingo,0,4.25,0,malaria,8,2018
Sánchez Ramírez,0,0.0,0,malaria,8,2018
Valverde,0,0.0,0,malaria,8,2018
Azua,0,0.0,0,Malaria,9,2018
Baoruco,0,0.0,0,Malaria,9,2018
Barahona,0,0.0,0,Malaria,9,2018
Dajabón,0,0.0,0,Malaria,9,2018
Distrito Nacional,0,0.57,0,Malaria,9,2018
Duarte,0,0.0,0,Malaria,9,2018
El Seibo,0,25.17,0,Malaria,9,2018
Elías Piña,0,0.0,0,Malaria,9,2018
Espaillat,0,0.0,0,Malaria,9,2018
Extranjera,0,0.0,0,Malaria,9,2018
Hato Mayor,0,0.0,0,Malaria,9,2018
Hermanas Mirabal,0,0.0,0,Malaria,9,2018
Independencia,0,0.0,0,Malaria,9,2018
La Altagracia,0,1.75,0,Malaria,9,2018
La Romana,0,0.0,0,Malaria,9,2018
La Vega,0,0.0,0,Malaria,9,2018
María Trinidad Sánchez,0,0.0,0,Malaria,9,2018
Monseñor Nouel,0,0.0,0,Malaria,9,2018
Monte Cristi,0,0.0,0,Malaria,9,2018
Monte Plata,0,0.0,0,Malaria,9,2018
Pedernales,0,0.0,0,Malaria,9,2018
Peravia,0,0.0,0,Malaria,9,2018
Puerto Plata,0,0.0,0,Malaria,9,2018
Samaná,0,0.0,0,Malaria,9,2018
San Cristóbal,0,0.0,0,Malaria,9,2018
San José de Ocoa,0,0.0,0,Malaria,9,2018
San Juan,0,0.0,0,Malaria,9,2018
San Pedro de Macorís,0,0.0,0,Malaria,9,2018
Santiago,0,0.0,0,Malaria,9,2018
Santiago Rodríguez,0,0.0,0,Malaria,9,2018
Santo Domingo,1,3.99,0,Malaria,9,2018
Sánchez Ramírez,0,0.0,0,Malaria,9,2018
Valverde,0,0.0,0,Malaria,9,2018
Azua,0,0.0,0,malaria,10,2018
Baoruco,0,0.0,0,malaria,10,2018
Barahona,0,0.0,0,malaria,10,2018
Dajabón,0,0.0,0,malaria,10,2018
Distrito Nacional,0,0.51,0,malaria,10,2018
Duarte,0,0.0,0,malaria,10,2018
El Seibo,0,22.65,0,malaria,10,2018
Elías Piña,0,0.0,0,malaria,10,2018
Espaillat,0,0.0,0,malaria,10,2018
Extranjera,2,0.0,0,malaria,10,2018
Hato Mayor,0,0.0,0,malaria,10,2018
Hermanas Mirabal,0,0.0,0,malaria,10,2018
Independencia,0,0.0,0,malaria,10,2018
La Altagracia,0,1.57,0,malaria,10,2018
La Romana,0,0.0,0,malaria,10,2018
La Vega,0,0.0,0,malaria,10,2018
María Trinidad Sánchez,0,0.0,0,malaria,10,2018
Monseñor Nouel,0,0.0,0,malaria,10,2018
Monte Cristi,0,0.0,0,malaria,10,2018
Monte Plata,0,0.0,0,malaria,10,2018
Pedernales,0,0.0,0,malaria,10,2018
Peravia,0,0.0,0,malaria,10,2018
Puerto Plata,0,0.0,0,malaria,10,2018
Samaná,0,0.0,0,malaria,10,2018
San Cristóbal,0,0.0,0,malaria,10,2018
San José de Ocoa,0,0.0,0,malaria,10,2018
San Juan,0,0.0,0,malaria,10,2018
San Pedro de Macorís,0,0.0,0,malaria,10,2018
Santiago,0,0.0,0,malaria,10,2018
Santiago Rodríguez,0,0.0,0,malaria,10,2018
Santo Domingo,6,4.72,0,malaria,10,2018
Sánchez Ramírez,0,0.0,0,malaria,10,2018
Valverde,0,0.0,0,malaria,10,2018
Azua,0,0.0,0,malaria,11,2018
Baoruco,0,0.0,0,malaria,11,2018
Barahona,0,0.0,0,malaria,11,2018
Dajabón,0,0.0,0,malaria,11,2018
Distrito Nacional,0,0.46,0,malaria,11,2018
Duarte,0,0.0,0,malaria,11,2018
El Seibo,0,20.59,0,malaria,11,2018
Elías Piña,0,0.0,0,malaria,11,2018
Espaillat,0,0.0,0,malaria,11,2018
Extranjera,1,0.0,0,malaria,11,2018
Hato Mayor,0,0.0,0,malaria,11,2018
Hermanas Mirabal,0,0.0,0,malaria,11,2018
Independencia,0,0.0,0,malaria,11,2018
La Altagracia,5,8.59,0,malaria,11,2018
La Romana,0,0.0,0,malaria,11,2018
La Vega,0,0.0,0,malaria,11,2018
María Trinidad Sánchez,0,0.0,0,malaria,11,2018
Monseñor Nouel,0,0.0,0,malaria,11,2018
Monte Cristi,0,0.0,0,malaria,11,2018
Monte Plata,0,0.0,0,malaria,11,2018
Pedernales,0,0.0,0,malaria,11,2018
Peravia,0,0.0,0,malaria,11,2018
Puerto Plata,0,0.0,0,malaria,11,2018
Samaná,0,0.0,0,malaria,11,2018
San Cristóbal,0,0.0,0,malaria,11,2018
San José de Ocoa,0,0.0,0,malaria,11,2018
San Juan,0,0.0,0,malaria,11,2018
San Pedro de Macorís,2,3.14,0,malaria,11,2018
Santiago,0,0.0,0,malaria,11,2018
Santiago Rodríguez,0,0.0,0,malaria,11,2018
Santo Domingo,3,4.81,0,malaria,11,2018
Sánchez Ramírez,0,0.0,0,malaria,11,2018
Valverde,0,0.0,0,malaria,11,2018
Azua,0,0.0,0,Malaria,13,2018
Baoruco,0,0.0,0,Malaria,13,2018
Barahona,0,0.0,0,Malaria,13,2018
Dajabón,0,0.0,0,Malaria,13,2018
Distrito Nacional,0,0.39,0,Malaria,13,2018
Duarte,0,0.0,0,Malaria,13,2018
El Seibo,0,17.42,0,Malaria,13,2018
Elías Piña,0,0.0,0,Malaria,13,2018
Espaillat,0,0.0,0,Malaria,13,2018
Extranjera,1,0.0,0,Malaria,13,2018
Hato Mayor,0,0.0,0,Malaria,13,2018
Hermanas Mirabal,0,0.0,0,Malaria,13,2018
Independencia,0,0.0,0,Malaria,13,2018
La Altagracia,5,18.16,0,Malaria,13,2018
La Romana,0,0.0,0,Malaria,13,2018
La Vega,0,0.0,0,Malaria,13,2018
María Trinidad Sánchez,0,0.0,0,Malaria,13,2018
Monseñor Nouel,0,0.0,0,Malaria,13,2018
Monte Cristi,0,0.0,0,Malaria,13,2018
Monte Plata,0,0.0,0,Malaria,13,2018
Pedernales,0,0.0,0,Malaria,13,2018
Peravia,0,0.0,0,Malaria,13,2018
Puerto Plata,0,0.0,0,Malaria,13,2018
Samaná,0,0.0,0,Malaria,13,2018
San Cristóbal,0,0.0,0,Malaria,13,2018
San José de Ocoa,0,0.0,0,Malaria,13,2018
San Juan,0,0.0,0,Malaria,13,2018
San Pedro de Macorís,0,3.98,0,Malaria,13,2018
Santiago,0,0.0,0,Malaria,13,2018
Santiago Rodríguez,0,0.0,0,Malaria,13,2018
Santo Domingo,0,4.79,0,Malaria,13,2018
Sánchez Ramírez,0,0.0,0,Malaria,13,2018
Valverde,0,0.0,0,Malaria,13,2018
Azua,0,0.0,0,Malaria,14,2018
Baoruco,0,0.0,0,Malaria,14,2018
Barahona,0,0.0,0,Malaria,14,2018
Dajabón,0,0.0,0,Malaria,14,2018
Distrito Nacional,1,0.73,0,Malaria,14,2018
Duarte,0,0.0,0,Malaria,14,2018
El Seibo,0,16.18,0,Malaria,14,2018
Elías Piña,0,0.0,0,Malaria,14,2018
Espaillat,0,0.0,0,Malaria,14,2018
Extranjera,0,0.0,0,Malaria,14,2018
Hato Mayor,0,0.0,0,Malaria,14,2018
Hermanas Mirabal,0,0.0,0,Malaria,14,2018
Independencia,0,0.0,0,Malaria,14,2018
La Altagracia,1,17.99,0,Malaria,14,2018
La Romana,0,0.0,0,Malaria,14,2018
La Vega,0,0.0,0,Malaria,14,2018
María Trinidad Sánchez,0,0.0,0,Malaria,14,2018
Monseñor Nouel,0,0.0,0,Malaria,14,2018
Monte Cristi,0,0.0,0,Malaria,14,2018
Monte Plata,0,0.0,0,Malaria,14,2018
Pedernales,0,0.0,0,Malaria,14,2018
Peravia,0,0.0,0,Malaria,14,2018
Puerto Plata,0,0.0,0,Malaria,14,2018
Samaná,0,0.0,0,Malaria,14,2018
San Cristóbal,0,0.0,0,Malaria,14,2018
San José de Ocoa,0,0.0,0,Malaria,14,2018
San Juan,0,0.0,0,Malaria,14,2018
San Pedro de Macorís,0,3.7,0,Malaria,14,2018
Santiago,0,0.0,0,Malaria,14,2018
Santiago Rodríguez,0,0.0,0,Malaria,14,2018
Santo Domingo,0,4.45,0,Malaria,14,2018
Sánchez Ramírez,0,0.0,0,Malaria,14,2018
Valverde,0,0.0,0,Malaria,14,2018
Azua,0,0.0,0,Malaria,15,2018
Baoruco,0,0.0,0,Malaria,15,2018
Barahona,0,0.0,0,Malaria,15,2018
Dajabón,0,0.0,0,Malaria,15,2018
Distrito Nacional,1,1.02,0,Malaria,15,2018
Duarte,0,0.0,0,Malaria,15,2018
El Seibo,0,15.1,0,Malaria,15,2018
Elías Piña,0,0.0,0,Malaria,15,2018
