Provincia,Muertes Maternas,Muertes Infantiles,Condicion,Numero,Year
Espaillat,0,2,maternainfantil,9,2018
Extranjera,0,0,maternainfantil,9,2018
Hato Mayor,0,0,maternainfantil,9,2018
Hermanas Mirabal,0,0,maternainfantil,9,2018
Independencia,0,2,maternainfantil,9,2018
La Altagracia,0,3,maternainfantil,9,2018
La Romana,0,0,maternainfantil,9,2018
La Vega,0,2,maternainfantil,9,2018
María Trinidad Sánchez,0,0,maternainfantil,9,2018
Monseñor Nouel,0,0,maternainfantil,9,2018
Monte Cristi,0,1,maternainfantil,9,2018
Monte Plata,0,1,maternainfantil,9,2018
Pedernales,1,0,maternainfantil,9,2018
Peravia,0,1,maternainfantil,9,2018
Puerto Plata,1,1,maternainfantil,9,2018
Samaná,0,0,maternainfantil,9,2018
San Cristóbal,0,4,maternainfantil,9,2018
San José de Ocoa,0,0,maternainfantil,9,2018
San Juan,0,1,maternainfantil,9,2018
San Pedro de Macorís,0,0,maternainfantil,9,2018
Santiago,0,5,maternainfantil,9,2018
Santiago Rodríguez,0,0,maternainfantil,9,2018
Santo Domingo,0,14,maternainfantil,9,2018
Sánchez Ramírez,0,0,maternainfantil,9,2018
Valverde,0,2,maternainfantil,9,2018
Azua,0,0,maternainfantil,10,2018
Baoruco,0,0,maternainfantil,10,2018
Barahona,0,3,maternainfantil,10,2018
Dajabón,0,0,maternainfantil,10,2018
Distrito Nacional,1,3,maternainfantil,10,2018
Duarte,0,0,maternainfantil,10,2018
El Seibo,0,0,maternainfantil,10,2018
Elías Piña,0,0,maternainfantil,10,2018
Espaillat,0,1,maternainfantil,10,2018
Extranjera,0,0,maternainfantil,10,2018
Hato Mayor,0,0,maternainfantil,10,2018
Hermanas Mirabal,0,0,maternainfantil,10,2018
Independencia,0,0,maternainfantil,10,2018
La Altagracia,0,0,maternainfantil,10,2018
La Romana,0,2,maternainfantil,10,2018
La Vega,2,1,maternainfantil,10,2018
María Trinidad Sánchez,0,0,maternainfantil,10,2018
Monseñor Nouel,0,1,maternainfantil,10,2018
Monte Cristi,0,1,maternainfantil,10,2018
Monte Plata,0,1,maternainfantil,10,2018
Pedernales,0,0,maternainfantil,10,2018
Peravia,0,2,maternainfantil,10,2018
Puerto Plata,0,0,maternainfantil,10,2018
Samaná,0,0,maternainfantil,10,2018
San Cristóbal,0,5,maternainfantil,10,2018
San José de Ocoa,0,0,maternainfantil,10,2018
San Juan,0,2,maternainfantil,10,2018
San Pedro de Macorís,0,1,maternainfantil,10,2018
Santiago,0,6,maternainfantil,10,2018
Santiago Rodríguez,0,2,maternainfantil,10,2018
Santo Domingo,1,11,maternainfantil,10,2018
Sánchez Ramírez,0,1,maternainfantil,10,2018
Valverde,0,1,maternainfantil,10,2018
Azua,0,1,maternainfantil,11,2018
Baoruco,0,1,maternainfantil,11,2018
Barahona,0,1,maternainfantil,11,2018
Dajabón,0,0,maternainfantil,11,2018
Distrito Nacional,0,3,maternainfantil,11,2018
Duarte,0,2,maternainfantil,11,2018
El Seibo,0,0,maternainfantil,11,2018
Elías Piña,0,0,maternainfantil,11,2018
Espaillat,0,0,maternainfantil,11,2018
Extranjera,0,0,maternainfantil,11,2018
Hato Mayor,0,0,maternainfantil,11,2018
Hermanas Mirabal,0,1,maternainfantil,11,2018
Independencia,0,1,maternainfantil,11,2018
La Altagracia,0,0,maternainfantil,11,2018
La Romana,0,1,maternainfantil,11,2018
La Vega,1,1,maternainfantil,11,2018
María Trinidad Sánchez,0,0,maternainfantil,11,2018
Monseñor Nouel,0,0,maternainfantil,11,2018
Monte Cristi,0,1,maternainfantil,11,2018
Monte Plata,0,1,maternainfantil,11,2018
Pedernales,0,0,maternainfantil,11,2018
Peravia,0,0,maternainfantil,11,2018
Puerto Plata,0,0,maternainfantil,11,2018
Samaná,0,0,maternainfantil,11,2018
San Cristóbal,0,5,maternainfantil,11,2018
San José de Ocoa,0,0,maternainfantil,11,2018
San Juan,0,1,maternainfantil,11,2018
San Pedro de Macorís,0,0,maternainfantil,11,2018
Santiago,0,8,maternainfantil,11,2018
Santiago Rodríguez,1,2,maternainfantil,11,2018
Santo Domingo,0,12,maternainfantil,11,2018
Sánchez Ramírez,0,0,maternainfantil,11,2018
Valverde,0,2,maternainfantil,11,2018
Azua,0,1,maternainfantil,13,2018
Baoruco,0,1,maternainfantil,13,2018
Barahona,0,1,maternainfantil,13,2018
Dajabón,0,0,maternainfantil,13,2018
Distrito Nacional,0,3,maternainfantil,13,2018
Duarte,0,0,maternainfantil,13,2018
El Seibo,0,0,maternainfantil,13,2018
Elías Piña,0,1,maternainfantil,13,2018
Espaillat,0,2,maternainfantil,13,2018
Extranjera,0,0,maternainfantil,13,2018
Hato Mayor,0,0,maternainfantil,13,2018
Hermanas Mirabal,0,0,maternainfantil,13,2018
Independencia,0,0,maternainfantil,13,2018
La Altagracia,0,0,maternainfantil,13,2018
La Romana,0,0,maternainfantil,13,2018
La Vega,0,3,maternainfantil,13,2018
María Trinidad Sánchez,0,0,maternainfantil,13,2018
Monseñor Nouel,0,0,maternainfantil,13,2018
Monte Cristi,0,0,maternainfantil,13,2018
Monte Plata,0,0,maternainfantil,13,2018
Pedernales,0,0,maternainfantil,13,2018
Peravia,0,0,maternainfantil,13,2018
Puerto Plata,0,0,maternainfantil,13,2018
Samaná,0,1,maternainfantil,13,2018
San Cristóbal,0,5,maternainfantil,13,2018
San José de Ocoa,0,1,maternainfantil,13,2018
San Juan,0,2,maternainfantil,13,2018
San Pedro de Macorís,0,0,maternainfantil,13,2018
Santiago,1,5,maternainfantil,13,2018
Santiago Rodríguez,0,0,maternainfantil,13,2018
Santo Domingo,0,13,maternainfantil,13,2018
Sánchez Ramírez,0,2,maternainfantil,13,2018
Valverde,0,0,maternainfantil,13,2018
Azua,0,0,maternainfantil,14,2018
Baoruco,0,1,maternainfantil,14,2018
Barahona,0,3,maternainfantil,14,2018
Dajabón,0,0,maternainfantil,14,2018
Distrito Nacional,0,3,maternainfantil,14,2018
Duarte,0,0,maternainfantil,14,2018
El Seibo,0,0,maternainfantil,14,2018
Elías Piña,0,1,maternainfantil,14,2018
Espaillat,0,1,maternainfantil,14,2018
Extranjera,0,0,maternainfantil,14,2018
Hato Mayor,0,0,maternainfantil,14,2018
Hermanas Mirabal,0,0,maternainfantil,14,2018
Independencia,0,0,maternainfantil,14,2018
La Altagracia,0,1,maternainfantil,14,2018
La Romana,0,1,maternainfantil,14,2018
La Vega,1,2,maternainfantil,14,2018
María Trinidad Sánchez,0,0,maternainfantil,14,2018
Monseñor Nouel,0,0,maternainfantil,14,2018
Monte Cristi,0,1,maternainfantil,14,2018
Monte Plata,0,3,maternainfantil,14,2018
Pedernales,0,0,maternainfantil,14,2018
Peravia,0,0,maternainfantil,14,2018
Puerto Plata,0,0,maternainfantil,14,2018
Samaná,0,0,maternainfantil,14,2018
San Cristóbal,1,2,maternainfantil,14,2018
San José de Ocoa,0,1,maternainfantil,14,2018
San Juan,0,0,maternainfantil,14,2018
San Pedro de Macorís,0,1,maternainfantil,14,2018
Santiago,0,4,maternainfantil,14,2018
Santiago Rodríguez,0,0,maternainfantil,14,2018
Santo Domingo,2,15,maternainfantil,14,2018
Sánchez Ramírez,0,0,maternainfantil,14,2018
Valverde,0,0,maternainfantil,14,2018
Azua,0,1,maternainfantil,15,2018
Baoruco,0,1,maternainfantil,15,2018
Barahona,0,0,maternainfantil,15,2018
Dajabón,0,2,maternainfantil,15,2018
Distrito Nacional,0,4,maternainfantil,15,2018
Duarte,0,0,maternainfantil,15,2018
El Seibo,0,0,maternainfantil,15,2018
Elías Piña,0,0,maternainfantil,15,2018
Espaillat,0,0,maternainfantil,15,2018
Extranjera,1,0,maternainfantil,15,2018
Hato Mayor,0,0,maternainfantil,15,2018
Hermanas Mirabal,0,0,maternainfantil,15,2018
Independencia,0,0,maternainfantil,15,2018
La Altagracia,1,2,maternainfantil,15,2018
La Romana,0,3,maternainfantil,15,2018
La Vega,0,3,maternainfantil,15,2018
María Trinidad Sánchez,0,0,maternainfantil,15,2018
Monseñor Nouel,0,1,maternainfantil,15,2018
Monte Cristi,0,0,maternainfantil,15,2018
Monte Plata,0,1,maternainfantil,15,2018
Pedernales,0,0,maternainfantil,15,2018
Peravia,0,1,maternainfantil,15,2018
Puerto Plata,0,1,maternainfantil,15,2018
Samaná,0,1,maternainfantil,15,2018
San Cristóbal,0,3,maternainfantil,15,2018
San José de Ocoa,0,1,maternainfantil,15,2018
San Juan,0,1,maternainfantil,15,2018
San Pedro de Macorís,0,0,maternainfantil,15,2018
Santiago,0,4,maternainfantil,15,2018
Santiago Rodríguez,0,0,maternainfantil,15,2018
Santo Domingo,1,16,maternainfantil,15,2018
Sánchez Ramírez,0,2,maternainfantil,15,2018
Valverde,0,2,maternainfantil,15,2018
Azua,0,0,maternainfantil,17,2018
Baoruco,0,2,maternainfantil,17,2018
Barahona,0,3,maternainfantil,17,2018
Dajabón,0,1,maternainfantil,17,2018
Distrito Nacional,1,1,maternainfantil,17,2018
Duarte,0,0,maternainfantil,17,2018
El Seibo,0,0,maternainfantil,17,2018
Elías Piña,0,0,maternainfantil,17,2018
Espaillat,0,0,maternainfantil,17,2018
Extranjera,0,1,maternainfantil,17,2018
Hato Mayor,0,0,maternainfantil,17,2018
Hermanas Mirabal,0,0,maternainfantil,17,2018
Independencia,0,0,maternainfantil,17,2018
La Altagracia,0,1,maternainfantil,17,2018
La Romana,0,2,maternainfantil,17,2018
La Vega,0,3,maternainfantil,17,2018
María Trinidad Sánchez,0,1,maternainfantil,17,2018
Monseñor Nouel,0,1,maternainfantil,17,2018
Monte Cristi,0,0,maternainfantil,17,2018
Monte Plata,0,0,maternainfantil,17,2018
Pedernales,0,1,maternainfantil,17,2018
Peravia,1,1,maternainfantil,17,2018
Puerto Plata,0,1,maternainfantil,17,2018
Samaná,0,0,maternainfantil,17,2018
San Cristóbal,0,4,maternainfantil,17,2018
San José de Ocoa,0,0,maternainfantil,17,2018
San Juan,0,0,maternainfantil,17,2018
San Pedro de Macorís,0,5,maternainfantil,17,2018
Santiago,0,7,maternainfantil,17,2018
Santiago Rodríguez,0,0,maternainfantil,17,2018
Santo Domingo,1,10,maternainfantil,17,2018
Sánchez Ramírez,0,0,maternainfantil,17,2018
Valverde,0,0,maternainfantil,17,2018
Azua,0,1,maternainfantil,18,2018
Baoruco,0,0,maternainfantil,18,2018
Barahona,0,1,maternainfantil,18,2018
Dajabón,0,0,maternainfantil,18,2018
Distrito Nacional,0,5,maternainfantil,18,2018
Duarte,0,0,maternainfantil,18,2018
El Seibo,0,0,maternainfantil,18,2018
Elías Piña,0,0,maternainfantil,18,2018
Espaillat,0,1,maternainfantil,18,2018
Extranjera,0,0,maternainfantil,18,2018
Hato Mayor,0,0,maternainfantil,18,2018
Hermanas Mirabal,0,0,maternainfantil,18,2018
Independencia,0,0,maternainfantil,18,2018
La Altagracia,0,0,maternainfantil,18,2018
La Romana,0,0,maternainfantil,18,2018
La Vega,0,1,maternainfantil,18,2018
María Trinidad Sánchez,0,1,maternainfantil,18,2018
Monseñor Nouel,0,0,maternainfantil,18,2018
Monte Cristi,0,0,maternainfantil,18,2018
Monte Plata,0,0,maternainfantil,18,2018
Pedernales,0,0,maternainfantil,18,2018
Peravia,0,0,maternainfantil,18,2018
Puerto Plata,1,1,maternainfantil,18,2018
Samaná,0,0,maternainfantil,18,2018
San Cristóbal,0,6,maternainfantil,18,2018
San José de Ocoa,0,1,maternainfantil,18,2018
San Juan,0,0,maternainfantil,18,2018
San Pedro de Macorís,0,2,maternainfantil,18,2018
Santiago,0,4,maternainfantil,18,2018
Santiago Rodríguez,0,0,maternainfantil,18,2018
Santo Domingo,0,18,maternainfantil,18,2018
Sánchez Ramírez,0,0,maternainfantil,18,2018
Valverde,0,2,maternainfantil,18,2018
Azua,0,0,maternainfantil,20,2018
Baoruco,0,2,maternainfantil,20,2018
Barahona,0,1,maternainfantil,20,2018
Dajabón,0,1,maternainfantil,20,2018
Distrito Nacional,0,3,maternainfantil,20,2018
Duarte,0,1,maternainfantil,20,2018
El Seibo,0,0,maternainfantil,20,2018
Elías Piña,0,0,maternainfantil,20,2018
Espaillat,0,1,maternainfantil,20,2018
Extranjera,0,0,maternainfantil,20,2018
Hato Mayor,0,0,maternainfantil,20,2018
Hermanas Mirabal,0,1,maternainfantil,20,2018
Independencia,0,0,maternainfantil,20,2018
La Altagracia,0,2,maternainfantil,20,2018
La Romana,1,0,maternainfantil,20,2018
La Vega,1,2,maternainfantil,20,2018
María Trinidad Sánchez,0,0,maternainfantil,20,2018
Monseñor Nouel,0,0,maternainfantil,20,2018
Monte Cristi,0,3,maternainfantil,20,2018
Monte Plata,0,0,maternainfantil,20,2018
Pedernales,0,0,maternainfantil,20,2018
Peravia,0,1,maternainfantil,20,2018
Puerto Plata,0,2,maternainfantil,20,2018
Samaná,0,0,maternainfantil,20,2018
San Cristóbal,0,7,maternainfantil,20,2018
San José de Ocoa,1,1,maternainfantil,20,2018
San Juan,0,3,maternainfantil,20,2018
San Pedro de Macorís,0,0,maternainfantil,20,2018
Santiago,0,7,maternainfantil,20,2018
