Provincia,Casos Sospechosos,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Barahona,0,6.9,0,leptospirosis,4,2018
Dajabón,0,0.0,0,leptospirosis,4,2018
Distrito Nacional,1,2.5,0,leptospirosis,4,2018
Duarte,0,21.9,0,leptospirosis,4,2018
El Seibo,0,14.2,0,leptospirosis,4,2018
Elías Piña,0,0.0,0,leptospirosis,4,2018
Espaillat,0,0.0,0,leptospirosis,4,2018
Extranjera,0,0.0,0,leptospirosis,4,2018
Hato Mayor,0,0.0,0,leptospirosis,4,2018
Hermanas Mirabal,0,14.1,0,leptospirosis,4,2018
Independencia,0,0.0,0,leptospirosis,4,2018
La Altagracia,0,0.0,0,leptospirosis,4,2018
La Romana,0,0.0,0,leptospirosis,4,2018
La Vega,1,19.2,0,leptospirosis,4,2018
María Trinidad Sánchez,0,9.2,0,leptospirosis,4,2018
Monseñor Nouel,0,7.6,0,leptospirosis,4,2018
Monte Cristi,0,22.6,0,leptospirosis,4,2018
Monte Plata,0,0.0,0,leptospirosis,4,2018
Pedernales,0,0.0,0,leptospirosis,4,2018
Peravia,0,0.0,0,leptospirosis,4,2018
Puerto Plata,0,0.0,0,leptospirosis,4,2018
Samaná,0,0.0,0,leptospirosis,4,2018
San Cristóbal,0,0.0,0,leptospirosis,4,2018
San José de Ocoa,1,46.4,0,leptospirosis,4,2018
San Juan,0,17.3,0,leptospirosis,4,2018
San Pedro de Macorís,1,8.6,0,leptospirosis,4,2018
Santiago,0,8.9,0,leptospirosis,4,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,4,2018
Santo Domingo,2,0.9,0,leptospirosis,4,2018
Sánchez Ramírez,0,0.0,0,leptospirosis,4,2018
Valverde,0,37.6,0,leptospirosis,4,2018
Azua,0,0.0,0,leptospirosis,5,2018
Baoruco,0,10.4,0,leptospirosis,5,2018
Barahona,0,5.5,0,leptospirosis,5,2018
Dajabón,0,0.0,0,leptospirosis,5,2018
Distrito Nacional,0,2.0,0,leptospirosis,5,2018
Duarte,0,17.5,0,leptospirosis,5,2018
El Seibo,0,11.3,0,leptospirosis,5,2018
Elías Piña,0,0.0,0,leptospirosis,5,2018
Espaillat,0,0.0,0,leptospirosis,5,2018
Extranjera,0,0.0,0,leptospirosis,5,2018
Hato Mayor,1,12.1,0,leptospirosis,5,2018
Hermanas Mirabal,0,11.3,0,leptospirosis,5,2018
Independencia,0,0.0,0,leptospirosis,5,2018
La Altagracia,0,0.0,0,leptospirosis,5,2018
La Romana,0,0.0,0,leptospirosis,5,2018
La Vega,0,15.3,0,leptospirosis,5,2018
María Trinidad Sánchez,2,22.1,0,leptospirosis,5,2018
Monseñor Nouel,0,6.1,0,leptospirosis,5,2018
Monte Cristi,0,18.0,0,leptospirosis,5,2018
Monte Plata,0,0.0,0,leptospirosis,5,2018
Pedernales,0,0.0,0,leptospirosis,5,2018
Peravia,0,0.0,0,leptospirosis,5,2018
Puerto Plata,1,6.3,0,leptospirosis,5,2018
Samaná,0,0.0,0,leptospirosis,5,2018
San Cristóbal,0,0.0,0,leptospirosis,5,2018
San José de Ocoa,0,37.1,0,leptospirosis,5,2018
San Juan,0,13.8,0,leptospirosis,5,2018
San Pedro de Macorís,0,6.9,0,leptospirosis,5,2018
Santiago,2,8.1,0,leptospirosis,5,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,5,2018
Santo Domingo,2,1.9,0,leptospirosis,5,2018
Sánchez Ramírez,0,0.0,0,leptospirosis,5,2018
Valverde,0,30.1,0,leptospirosis,5,2018
Azua,0,0.0,0,leptospirosis,6,2018
Baoruco,0,8.7,0,leptospirosis,6,2018
Barahona,0,4.6,0,leptospirosis,6,2018
Dajabón,0,0.0,0,leptospirosis,6,2018
Distrito Nacional,0,1.7,0,leptospirosis,6,2018
Duarte,0,14.6,0,leptospirosis,6,2018
El Seibo,1,18.9,1,leptospirosis,6,2018
Elías Piña,0,0.0,0,leptospirosis,6,2018
Espaillat,0,3.6,0,leptospirosis,6,2018
Extranjera,0,0.0,0,leptospirosis,6,2018
Hato Mayor,0,10.1,0,leptospirosis,6,2018
Hermanas Mirabal,0,9.4,0,leptospirosis,6,2018
Independencia,0,0.0,0,leptospirosis,6,2018
